NOTAS,MATERIAS
9.2,Metodologia
7.3,Interacitvidad 3
7.2,Proyectos CGI
9.5,Rigging
9.9,E-games
9.7,Efectos Dinamicos
9.6,Visualizacion
10,Grafica Digital
8,Dibujo naturalista
