NOTAS,MATERIAS
10,Preproduccion
7.2,Ficcion
8.1,Problemas del M.
8.7,Panoramas del S.
7.3,Sonido 2
6.8,Avances Tecnolog.
6.5,Direccion Actoral
10,Documentales
7.2,Videocomposicion 3
